feature,importance_mean,importance_std
vehicle_age,3288.7374658552226,240.86440925807926
mileage_num,3116.892048969563,218.48531457203757
model,812.9711510974994,44.64993042851214
body_type,705.2754275626521,81.32483243800567
condition,459.3960834367099,27.760579047089134
make,385.54615496500116,31.48737260132934
drive_type,203.7565032163533,17.60711769437018
color,154.89265793358118,35.79714785965387
fuel_type,97.50300573845797,31.26432422681086
transmission,35.22883588015338,15.636775321692232
title_status,2.8830121364117076,0.52769176040023
