feature,importance_mean,importance_std
vehicle_age,2212.7281709443087,126.45239356022637
mileage_num,1755.7501681598048,99.0499080909377
condition,846.511713518966,91.2273292882109
body_type,389.09182534301743,72.38464355411944
make,340.97511666666577,51.03729494021971
model,303.79649075867565,34.77476281325291
color,121.35707372881261,18.479853104561847
drive_type,113.69268006456714,20.284659837582733
fuel_type,85.02690225988609,18.772163906094352
transmission,2.9607694915244793,2.888920734045147
title_status,0.04503389830479136,0.06482793170911229
