feature,importance_mean,importance_std
mileage_num,3401.715152847502,323.40181876772806
vehicle_age,2259.4146129861024,159.20132579141236
condition,840.45931160646,59.15025841193635
model,511.38711868383564,71.94955449371167
body_type,506.1182757739451,47.760505812307635
make,350.13635206809903,68.2622184222912
drive_type,122.35792306922686,37.01446862834918
color,120.5883670240817,45.48537063005138
fuel_type,108.89416551620597,9.694058317717612
transmission,8.410551820727232,4.742854714022063
title_status,-0.10469747899242066,0.09629735456226074
