feature,importance_mean,importance_std
vehicle_age,2329.943816234456,118.64340548148508
mileage_num,1663.9672978086135,162.20182797891542
condition,802.4509896117683,24.46337010402038
body_type,499.0063484986351,57.43346974536188
make,389.8065569836217,35.056987817769574
model,223.6309706172282,40.37009571979997
drive_type,139.16193183196827,31.415849985945407
fuel_type,104.18352998938408,13.030062087331476
color,88.0781308765545,34.003377708327804
title_status,-0.032694267516308176,0.060535920672136784
transmission,-7.932273885350696,4.442526202923621
