feature,importance_mean,importance_std
vehicle_age,3510.1902204941275,347.98305067237817
mileage_num,2918.845828564559,218.5425642921943
body_type,670.7148123879102,80.19672260061112
condition,668.0473573204315,79.9936886135491
model,577.1082090823968,42.204569868215664
make,481.0070619511274,47.98792677132404
fuel_type,175.91205712150276,41.536634933027486
drive_type,150.4340130163795,14.872825829066576
color,127.81369123079139,31.998836869285284
title_status,0.9382376681608549,0.5130230184961049
transmission,-0.4641532137524337,3.128299895566707
