feature,importance_mean,importance_std
vehicle_age,2173.0264940913867,142.74956367675819
mileage_num,1819.1770504639348,92.99521464202812
condition,723.3942289478288,31.948591348722974
body_type,431.0407393644955,124.70043262916934
make,348.6638198091732,50.76438357492926
model,295.9331844800416,21.317943765022783
drive_type,147.53031797093792,34.25843684556582
color,114.14771078431349,21.721794257627938
fuel_type,78.99765624999945,21.948318509681314
title_status,0.02806985294100741,0.0222161485327067
transmission,-8.482890931373003,8.803129555035783
