feature,importance_mean,importance_std
mileage_num,1490.675014690983,338.9743956854006
vehicle_age,1298.8072558257347,169.51285414524824
condition,923.8273525835866,164.96778283234056
make,552.9886691995946,208.22692809267656
model,182.0849716312061,66.62550865045682
body_type,70.01704078014208,199.68986680006992
drive_type,66.98170212765982,117.08103436234924
fuel_type,12.848553191489737,18.579077092500405
title_status,0.0,0.0
transmission,-31.80070921985771,3.7380534699598305
color,-244.48495491388067,78.79871351374914
