feature,importance_mean,importance_std
vehicle_age,3651.406272377687,234.20011864335575
mileage_num,3500.054448812062,213.40953638155855
model,864.1250710985387,52.97819287818236
body_type,658.1093300192728,38.70740985357266
condition,566.6261750585627,68.50885982297743
make,520.3403220299699,56.39852148358017
color,310.31187435848915,89.34450858040525
drive_type,276.18322814055375,44.95335057513856
fuel_type,87.71955113155892,30.870867676044984
transmission,29.25753388672474,9.855111838906879
title_status,0.9266789133589555,0.299629935235207
