feature,importance_mean,importance_std
vehicle_age,3664.1621985625984,172.6138747589112
mileage_num,3424.7166765184215,132.4971362403989
model,885.1947247097651,43.2651657068305
body_type,881.606710026934,69.24590506317872
condition,532.0211897480173,127.23006263251771
make,353.7550728326025,44.70772894361741
drive_type,201.36618777628755,62.039926721415256
color,168.98359983057054,35.878447798586656
fuel_type,52.982536518866254,21.681151948282746
transmission,39.429275459487144,11.21019799192178
title_status,0.5894965387125921,0.3413003625807716
