feature,importance_mean,importance_std
vehicle_age,2766.4031539489706,266.6422444191341
mileage_num,1279.220794565534,139.0898774373834
body_type,1156.754263041808,197.75780431199712
condition,513.747052654913,86.26681879854473
make,452.73614997385556,50.43353089715437
fuel_type,355.77438654863664,117.56090281764557
drive_type,333.4206708464383,35.507299403483444
model,294.0879270070336,62.36566681206307
color,118.54015954616098,55.49488453792608
transmission,22.79845576302814,10.003573665902266
title_status,0.0,0.0
