feature,importance_mean,importance_std
vehicle_age,1624.7050775149132,134.6927060517255
condition,615.3517356595903,87.04413626833616
body_type,517.663430183193,106.14517104974492
mileage_num,452.1453033767066,33.919014041208904
make,237.9291798111366,39.640114055684194
drive_type,166.74899182224945,27.045168114856008
model,141.40835306570278,36.26262571810529
color,75.12113171635228,23.00452418358849
fuel_type,16.385198193891483,12.932085535255466
title_status,0.0,0.0
transmission,-0.6941317500444711,1.3119131956829493
