feature,importance_mean,importance_std
mileage_num,3941.710960342586,223.0460770467535
vehicle_age,3491.032080862561,147.16038603415944
model,839.4703972407358,69.14370288504074
make,747.1503533475206,40.41610331072639
body_type,576.50700124801,78.60282431634413
condition,473.4268653877563,73.60618773965557
drive_type,331.99805861062634,75.12141914402902
color,276.32132863224615,29.043973920707714
fuel_type,190.3485699569601,36.3429054065207
transmission,17.324241694274313,14.421896536851921
title_status,0.10240424648327462,0.24178167133233958
