feature,importance_mean,importance_std
vehicle_age,2133.5273133047212,157.523932968043
mileage_num,979.7982317596568,35.967079267617564
condition,908.2993390557938,86.11096517261153
body_type,847.0727210300431,187.90859882572127
make,236.76536480686735,51.533882845680665
drive_type,212.58588841201745,42.65429920581634
model,152.3838540772531,27.186123354956024
transmission,54.91673819742537,26.46976101647064
fuel_type,25.21509871244634,16.85309814466562
color,21.94760515021444,18.031747487301793
title_status,0.06770815450618102,0.06350719406511898
