feature,importance_mean,importance_std
vehicle_age,3169.9787169880774,418.24425487583767
mileage_num,2634.478492253934,316.3351907953102
body_type,706.9018185323214,167.7829955468365
condition,510.26385487814724,100.5642721985556
make,494.5783795895466,66.952265460538
model,472.53644965510165,37.746897261410105
drive_type,282.6648823667257,44.743302343138225
fuel_type,141.2697670401495,34.28949785849612
color,36.63391315329572,37.133950600321725
transmission,5.063077186430746,5.6262446770846655
title_status,0.12309368191754402,1.1438548915777416
