feature,importance_mean,importance_std
vehicle_age,3125.195833704435,169.16804636863034
mileage_num,2734.8923229386687,130.1894538300273
model,850.4210204688856,49.76927041093307
body_type,694.7857252011294,105.50148698672727
condition,570.4174790064144,110.98456341479834
make,452.38269779357813,57.10527783310667
color,142.07744325482835,20.486714634554147
drive_type,97.9516494376845,70.30654456564932
fuel_type,69.97064043198188,12.843707371561466
transmission,8.39608327515234,4.377104555595862
title_status,3.7865004704028253,0.26383879660357284
