feature,importance_mean,importance_std
vehicle_age,2541.525579761904,105.34485035507436
mileage_num,1672.2104804421765,141.54353461003868
make,674.1371435374141,73.78920103663253
condition,599.2146721088425,100.17496342535814
body_type,426.4133209183666,76.96775010403155
fuel_type,160.20197857142767,33.881593375920374
model,145.3453047619044,53.08544395895294
drive_type,80.93827380952317,39.89868977987143
transmission,70.25839523809418,21.275234135915703
color,58.765553061224,34.760358219926296
title_status,0.2698857142851921,0.6369759239994646
