feature,importance_mean,importance_std
vehicle_age,3154.200880946163,58.192603529746236
mileage_num,2905.9813149309543,123.15606095798218
condition,793.0781860283244,41.166304470817195
body_type,694.9641179116151,85.4869840980935
model,618.8556948787326,87.84976066299707
make,473.5045419483812,39.670289862040164
drive_type,229.33951056042798,74.71747119090932
fuel_type,169.10846343327458,29.35248556299137
color,115.50708243793243,32.749362804403255
transmission,3.4277908289243895,5.061820657520917
title_status,0.5040962962963021,0.3550938129103688
