feature,importance_mean,importance_std
mileage_num,2618.8404346235698,180.01262037986166
vehicle_age,2135.437496342112,95.22066498450943
model,1209.5395323002579,142.72634674802282
condition,945.4747054624461,109.71092183764657
body_type,680.4806851112883,63.24524052981918
make,285.0802938724839,39.51186881681128
transmission,144.40398510242048,20.800956407141793
fuel_type,136.91431586414836,9.428023856451377
color,128.5933350846861,43.44044672052337
drive_type,96.8457268333772,29.974903854576038
title_status,0.3918826815641296,0.2579511609019793
