feature,importance_mean,importance_std
mileage_num,3389.163429971991,803.7319707596731
vehicle_age,1773.058425070029,160.38063130195343
condition,600.5034811924772,62.10512334336945
make,562.7946059423773,79.73017399957428
body_type,398.6277407963195,54.288169781606626
model,325.7343485394167,70.36446105106477
color,96.01505872349007,45.790763846466795
drive_type,71.91667927170838,161.3156716338568
fuel_type,65.24458123249242,25.73894212324703
title_status,0.0,0.0
transmission,-12.981793317326993,5.153358663482843
