feature,importance_mean,importance_std
vehicle_age,2179.5181717565138,173.98218999222485
mileage_num,900.5079169069495,52.30302683475901
condition,585.1093500373147,60.48020753280844
body_type,308.1673260110132,64.40157762274707
make,299.03086227660987,40.84287494548074
model,182.09212074185962,11.104658917238842
color,83.02660571370889,31.691537394287423
drive_type,73.88635070467589,19.095793031287275
fuel_type,49.84466197782458,18.764631777628143
title_status,-0.3545190533484856,0.24102479421640047
transmission,-3.93354662869624,3.6504788323598163
