feature,importance_mean,importance_std
mileage_num,4419.572160350797,742.0992688821443
vehicle_age,2847.2710331371554,439.21343798729765
body_type,698.8505438547032,283.2472078159802
model,657.5308521146478,162.19117493175338
make,494.22093657080785,49.98472433176011
fuel_type,303.268452094042,105.99245178115508
transmission,247.108580531179,17.637187053918083
condition,160.30736642860865,197.6476730513042
color,37.20195564441728,50.49791238340387
title_status,0.0,0.0
drive_type,-91.99746921318146,103.81920651315033
