feature,importance_mean,importance_std
mileage_num,3235.201070938799,161.54233343355688
vehicle_age,3003.64071830437,228.25186477196502
model,1053.5367213861748,58.10803014658834
body_type,599.2589113056916,91.61510426686904
condition,540.5813671913554,52.630776783255186
make,462.1528335774672,25.941882231273453
drive_type,189.3333265320327,66.69127315834727
color,112.42570617415149,16.210092830677365
fuel_type,85.13313147590016,18.079667844754102
transmission,10.531263402110744,5.730525694269851
title_status,0.48987312572080555,0.07943299636851306
