feature,importance_mean,importance_std
vehicle_age,3026.0703417952745,224.8536791823255
mileage_num,2990.664776269629,219.3383684675143
model,971.9589857932181,11.96374620089395
body_type,759.6983373991243,75.67692467830994
make,364.9712182140167,42.67453554241412
condition,348.92121138510737,12.791345912225264
drive_type,302.62107556551166,4.916376769704139
color,149.49985642182256,12.458367430843682
fuel_type,140.47034787214707,17.5804919210573
transmission,11.050257428337682,6.660383498098305
title_status,-0.6793562231760006,0.598063230085609
