feature,importance_mean,importance_std
mileage_num,3275.8514798216493,112.95659015888538
vehicle_age,3160.071555786497,119.37459172391
model,952.3932512611995,51.062253157663314
body_type,790.6514035920429,87.07527284772685
condition,520.5707809862663,95.26241072050975
make,379.1967962559647,42.671940175414996
drive_type,295.55301339168693,68.63259054979856
color,152.2184781656597,45.38446715610138
fuel_type,117.00522214652665,12.94245297223815
transmission,14.574194854300549,9.922605073698273
title_status,-1.5707449455998357,0.4400861369678424
