feature,importance_mean,importance_std
vehicle_age,3703.1402343127875,519.1312649287282
mileage_num,3309.332577645297,408.2160272835282
model,2518.5568156426134,642.1784399942145
body_type,631.5541750812621,155.6784456406879
drive_type,367.14175767886553,90.49339624477953
make,285.28225610313063,113.95723532987806
condition,266.80878142240545,84.33703654817643
color,255.75541966275597,48.09287067182253
fuel_type,89.10576556776505,18.46174635032675
transmission,18.077978748086753,23.413086041336996
title_status,-1.4114761298501435,1.0186044170229194
