feature,importance_mean,importance_std
mileage_num,6178.771489456043,1115.796137739102
vehicle_age,4146.008936185085,911.1252076944273
body_type,1526.0248560652967,722.8045764868036
model,1516.8081631216946,437.8705439739496
make,1089.5474900757185,139.81079830374838
condition,590.2532077254893,226.54889339156782
transmission,473.96805555555636,181.2368005134013
fuel_type,457.702696825398,128.77964666879834
color,293.7173100606922,106.09111090070253
title_status,0.0,0.0
drive_type,-132.2714712962952,194.158840035879
