feature,importance_mean,importance_std
vehicle_age,1176.1235226133833,124.04861723443665
body_type,698.570794421543,96.42288432795799
condition,452.98426889987115,53.71184001892836
mileage_num,321.25032439127915,53.50768227265874
make,240.72101861459504,53.37192751192253
drive_type,186.18605295938397,40.285047428950726
color,56.50345020955501,20.989559214242405
fuel_type,35.211577620672145,16.80297537860581
model,31.384694159660647,6.16124710513956
title_status,0.0,0.0
transmission,-2.0079245354572777,1.179255036446104
