feature,importance_mean,importance_std
vehicle_age,5395.719511630943,309.62029006826936
mileage_num,4036.3713796238653,329.4060222683967
model,1158.0236692528415,439.8403489384263
make,1015.7042952429769,100.11421939506356
body_type,811.8856829964915,81.64656082113895
drive_type,504.1097156136799,95.10975309055786
condition,494.37623481615327,108.05242241972955
color,451.086057695659,92.42163615239704
transmission,72.55434883036814,29.949121911202532
fuel_type,23.061189964157258,2.2388439277927317
title_status,4.983966687750035,0.5273144042967514
