feature,importance_mean,importance_std
mileage_num,3171.131106144803,271.9765356715225
vehicle_age,2515.664613129679,214.80290684683624
condition,836.4528647476524,85.86785518316954
body_type,485.8125296061209,29.626534170785607
model,412.48327428255834,36.39707956920639
make,386.4841022660974,17.40123008028878
drive_type,182.9003997895139,51.62754904016523
color,156.0415678358726,40.94138154459798
fuel_type,138.14900743203106,11.314527999608977
title_status,0.039978195488583876,0.05512184261197931
transmission,-4.165524135567466,16.28727702702621
