feature,importance_mean,importance_std
vehicle_age,529.0201960784323,62.315197329742126
mileage_num,313.9351450980399,65.83835648411839
drive_type,217.35698039215748,58.01005061419733
body_type,181.78301176470686,48.13089300643475
condition,86.87540392156916,15.253358998865002
make,56.09836078431435,21.299932354799513
color,30.109152941176944,15.252427980298066
fuel_type,24.523129411765513,38.92202983697411
transmission,2.3519294117650134,0.6516735626321726
title_status,-0.8760313725486413,0.5731763119652281
model,-17.75149803921504,20.686515541781862
