feature,importance_mean,importance_std
vehicle_age,3968.0889136592814,238.24528963964858
mileage_num,3238.482023848757,143.76497489031397
model,890.5363455295894,24.175513733657063
body_type,681.2268526027699,61.4083219589625
make,466.41347839984917,29.178246030569387
condition,459.52384492697894,102.14770233849413
color,292.0503943920523,46.588063571361495
drive_type,261.23432084885263,103.63066951325645
fuel_type,97.6165028847985,27.236467756363442
transmission,7.1519444861791275,13.519474353796086
title_status,1.0540101372484059,0.2088500244708513
