feature,importance_mean,importance_std
vehicle_age,3043.076699517747,171.98000317834794
mileage_num,3023.9521097566203,279.55548004368137
model,935.9063190655885,9.245990489726992
condition,681.1993765187718,55.28810682330589
body_type,646.8359182323758,80.80418204409303
make,531.5606438227195,31.418901894368712
drive_type,258.9711340221108,34.14698373541852
fuel_type,182.50652338305963,23.06116123642175
color,83.76721800586783,20.037310648874673
transmission,24.209685873605032,8.906867711580214
title_status,1.049122676579009,0.34347742164923495
