feature,importance_mean,importance_std
vehicle_age,3282.6695888309578,572.8216224519234
mileage_num,1307.181175489704,259.2107938338871
fuel_type,697.5289932143163,360.0323094453175
drive_type,501.64354133156394,75.97022322305573
make,324.7846091546271,69.87334217924656
condition,226.0096377631424,144.67438692252748
model,181.08160177388217,18.729115767019376
color,129.04628767782233,135.9814964685084
body_type,79.59414056769565,163.33004567574903
transmission,1.7564303350975023,13.118853877344769
title_status,0.0,0.0
