feature,importance_mean,importance_std
mileage_num,2827.588917591158,268.2404991286344
vehicle_age,2692.894348860378,158.32321857269665
condition,772.821685820851,42.45369751140214
body_type,524.9174219356589,56.829212627068294
make,422.81555419457584,15.202853442343793
model,414.0910070940228,22.822486456422528
color,200.0822897395921,78.47824723889651
drive_type,116.51357684302002,33.262727174241256
fuel_type,103.94926313732576,13.459076716884566
title_status,-0.1639559214017936,0.024034969543731872
transmission,-8.379053169695544,9.170769155625138
