feature,importance_mean,importance_std
vehicle_age,3729.796189837189,303.4616150972111
mileage_num,3622.640026427313,262.0577476595585
model,980.1775313763304,59.88663552652128
body_type,800.603382149955,103.4594796276851
condition,667.5621389932476,200.43607189201282
make,478.4246232794161,66.15203349473607
drive_type,363.0560149291776,43.87828112767172
color,274.73256890210104,22.72003993417367
fuel_type,95.95123244913194,22.51535913902745
transmission,26.72443122982286,13.131470873659966
title_status,-0.07336241610719299,0.2419093004304436
