feature,importance_mean,importance_std
mileage_num,3530.995220986585,186.1337965767236
vehicle_age,2459.3857574361077,191.03672379350866
condition,774.5759791134469,61.36485812683289
model,507.2144488498034,31.529475418939228
body_type,418.0143875958496,68.02528687059508
make,289.8187945900812,14.404275846531432
color,144.22918529394684,60.96110920786923
fuel_type,106.14362119946745,19.82734238511755
drive_type,92.95591584914291,35.802015003697264
transmission,5.874910242087753,3.8321148940052727
title_status,0.08999712107015512,0.0942918445893613
