feature,importance_mean,importance_std
vehicle_age,2216.3475857142867,128.7307299449798
mileage_num,1479.6507684523808,197.9706218386877
condition,776.3861464285717,60.890108973821256
make,292.3135369047621,35.21551452769738
body_type,267.3151761904766,36.6808133977403
model,164.20255952380975,23.321611619351525
drive_type,142.2713077380955,32.59130244653385
color,106.6669136904762,5.012568816224986
fuel_type,79.35219285714302,16.886638266721434
transmission,7.946652380952583,1.515746569555191
title_status,0.33759285714349974,0.7451722008902291
