feature,importance_mean,importance_std
vehicle_age,1111.210515951878,84.91820813139886
mileage_num,474.0509221348126,85.4376655676548
drive_type,353.9917842236593,157.86640781252711
condition,255.67738855480803,45.41467759976168
make,235.25698417731874,16.932312543806102
body_type,167.71599750748572,38.66794406774847
model,130.28778616975123,57.575939060866816
color,66.56832261381696,19.359027261613747
fuel_type,51.35722824067343,14.42281172144121
transmission,5.10292509616429,7.35668605223803
title_status,0.19178063063027367,0.08876742796308895
