feature,importance_mean,importance_std
vehicle_age,4313.538501909065,387.46474982576103
mileage_num,4137.896787858076,223.16864348096126
model,1104.8458667273371,47.48543049306444
body_type,737.1246291585253,41.096998522520266
make,565.0049777537005,66.42500458314676
condition,471.17499347714266,47.64296444038677
color,305.57212350101884,70.33082285296449
drive_type,190.81500110317583,38.18361542757951
fuel_type,160.21801714744552,27.497421240538156
transmission,42.14173790561072,13.557384181555927
title_status,-0.8602279496563824,0.23166746702307814
