feature,importance_mean,importance_std
mileage_num,3538.3059359682675,201.01041776211522
vehicle_age,2730.377666390287,385.1554044199841
condition,769.8246550237405,77.91288716006144
model,683.4702286444526,46.04635596098789
make,593.390856523182,34.488673454711744
body_type,513.6722446934793,73.17674961143884
drive_type,222.47968579370973,31.109442900592043
color,125.87098241051153,66.73149607515444
fuel_type,94.02618308371856,25.250896420405024
title_status,0.25184274193616146,0.5407207618360153
transmission,-32.435591397848476,15.42804019603068
