feature,importance_mean,importance_std
vehicle_age,2251.0976572831973,121.9660055758026
mileage_num,1971.7665558575336,129.7574870297024
condition,781.384158839251,76.45156926570039
body_type,383.96385550267985,65.24436832593588
make,309.363182467405,31.339851895575634
model,234.5531188526964,30.239548031591184
fuel_type,122.28737513546893,22.597102445422962
drive_type,89.07860703226724,69.95024857221956
color,84.43747529296324,14.362057283974588
transmission,6.442359503607804,3.7246413591477396
title_status,0.3063523533201078,0.16426817278054054
