feature,importance_mean,importance_std
vehicle_age,3247.72460460049,166.70010747349806
mileage_num,3081.497612269857,272.9000082079349
model,1053.7662417371496,122.98558161341666
body_type,624.7086424201619,69.86792267361562
condition,543.2034406208946,65.08718361438872
make,440.20814438817945,45.049279461596434
drive_type,187.5689692000833,41.179485235096074
fuel_type,132.21335894965597,37.52221003221185
color,129.62107883921817,34.614294169586394
transmission,15.543181964687573,3.3579655178288346
title_status,0.5369767111767942,1.0848495887373435
