feature,importance_mean,importance_std
vehicle_age,4821.094461652588,323.3136341208435
mileage_num,3954.89478739057,165.3641260729349
model,1071.5555240673025,110.70673625741699
body_type,929.254476104381,89.75306789506502
make,767.0087350938686,85.13788786597523
condition,634.7782497794475,48.91259181025002
drive_type,267.6053069613822,34.34867623395508
color,256.8572028187708,106.54963836233644
fuel_type,188.14283523509295,34.076466996977985
transmission,55.32254854390876,22.500553517173415
title_status,1.8286220579235306,0.7005528749213777
