feature,importance_mean,importance_std
mileage_num,3579.2957155067825,483.93080114963334
vehicle_age,2709.1325437213695,89.2717689884947
make,969.5459704492989,97.5758113497437
model,789.5133093817115,40.05209248623217
body_type,531.6401434451813,80.8149085205911
condition,476.4020579718323,151.52228803130635
color,182.38736514653792,17.09199296666386
drive_type,137.51801224704394,100.61119250040835
fuel_type,55.06348093306424,60.805800411008114
transmission,27.59120542211076,15.714339655413523
title_status,2.2043111251892697,0.2990504900822874
