feature,importance_mean,importance_std
vehicle_age,3408.0550981059255,295.54212711273846
mileage_num,3081.349844693964,262.7845600896943
body_type,687.6513761185246,55.50002706377462
condition,616.899618234244,112.71056716068198
make,470.2948908318991,37.961795802172425
model,441.1595211479553,74.6437933802181
drive_type,220.8910624903625,32.79220037991755
color,191.30878159343283,31.92136517520332
fuel_type,49.645410482403896,27.818542210564118
transmission,20.34704158806853,8.25112654391297
title_status,8.272327715355278,0.33358980489129614
